Date;Price;Open;High;Low;Vol.;Change %
03/29/2022;217.80;216.95;218.05;213.40;695.53K;2.35%
03/28/2022;212.80;213.10;216.55;212.20;509.57K;0.16%
03/25/2022;212.45;213.30;216.75;211.65;705.92K;1.00%
03/24/2022;210.35;211.15;213.00;207.90;665.27K;-0.66%
03/23/2022;211.75;218.20;218.40;211.25;825.30K;-2.26%
03/22/2022;216.65;215.55;220.80;215.55;850.16K;1.45%
03/21/2022;213.55;216.50;219.80;212.50;675.90K;-1.41%
03/18/2022;216.60;214.25;216.60;210.45;1.79M;1.14%
03/17/2022;214.15;215.90;217.20;210.50;845.61K;0.26%
03/16/2022;213.60;209.20;217.70;208.20;1.06M;4.86%
03/15/2022;203.70;205.00;205.50;197.78;1.09M;-1.16%
03/14/2022;206.10;207.05;210.85;205.05;1.01M;1.03%
03/11/2022;204.00;198.64;211.30;198.64;1.45M;3.51%
03/10/2022;197.08;211.35;211.80;196.68;1.38M;-6.22%
03/09/2022;210.15;198.24;213.05;195.18;2.38M;13.63%
03/08/2022;184.94;172.18;187.06;172.00;1.94M;4.54%
03/07/2022;176.90;177.10;183.40;170.08;2.35M;-5.40%
03/04/2022;187.00;196.50;197.64;187.00;1.32M;-6.64%
03/03/2022;200.30;205.05;208.45;199.02;870.41K;-2.53%
03/02/2022;205.50;201.65;207.45;200.50;1.29M;0.56%
03/01/2022;204.35;212.35;214.80;204.05;1.19M;-3.63%
02/28/2022;212.05;209.25;212.60;206.50;1.33M;-0.84%
