Date;Price;Open;High;Low;Vol.;Change %
10/18/2022;0.4690;0.4720;0.4810;0.4625;8.97M;-0.11%
10/17/2022;0.4695;0.4675;0.4785;0.4485;17.52M;3.53%
10/14/2022;0.4535;0.4495;0.4660;0.4445;8.53M;-0.33%
10/13/2022;0.4550;0.4495;0.4715;0.4420;20.38M;2.13%
10/12/2022;0.4455;0.4490;0.4595;0.4415;6.81M;0.91%
10/11/2022;0.4415;0.4305;0.4490;0.4295;10.37M;2.67%
10/10/2022;0.4300;0.4255;0.4300;0.4100;10.82M;0.94%
10/07/2022;0.4260;0.4425;0.4435;0.4170;7.43M;-3.62%
10/06/2022;0.4420;0.4485;0.4510;0.4320;4.74M;0.11%
10/05/2022;0.4415;0.4500;0.4500;0.4295;8.22M;-0.79%
10/04/2022;0.4450;0.4580;0.4630;0.4400;11.37M;-1.11%
10/03/2022;0.4500;0.4325;0.4575;0.4300;11.26M;4.65%
09/30/2022;0.4300;0.4370;0.4510;0.4200;11.79M;-2.60%
09/29/2022;0.4415;0.4700;0.4745;0.4350;10.62M;-4.85%
09/28/2022;0.4640;0.4525;0.4790;0.4525;7.14M;2.54%
09/27/2022;0.4525;0.4445;0.4695;0.4365;7.90M;2.38%
09/26/2022;0.4420;0.5015;0.5030;0.4300;23.45M;-11.51%
09/23/2022;0.4995;0.5205;0.5305;0.4825;17.92M;-4.86%
09/22/2022;0.5250;0.5100;0.5330;0.5100;18.63M;3.14%
09/21/2022;0.5090;0.5200;0.5400;0.4770;49.62M;-7.03%
09/20/2022;0.5475;0.5675;0.5785;0.5275;32.47M;-4.45%
09/19/2022;0.5730;0.5840;0.5850;0.5675;10.89M;-1.88%
09/16/2022;0.5840;0.5910;0.5910;0.5660;11.16M;-0.26%
09/15/2022;0.5855;0.5925;0.5925;0.5830;6.08M;-0.26%
09/14/2022;0.5870;0.6000;0.6000;0.5800;12.17M;-1.92%
09/13/2022;0.5985;0.6090;0.6130;0.5900;13.62M;-1.16%
09/12/2022;0.6055;0.5850;0.6250;0.5815;51.93M;3.59%
09/09/2022;0.5845;0.5970;0.5970;0.5760;23.52M;-2.01%
09/08/2022;0.5965;0.6390;0.6550;0.5830;90.82M;-3.63%
