Date;Price;Open;High;Low;Vol.;Change %
01/20/2022;6430.0;6549.0;6683.0;6324.0;2.24M;-0.99%
01/19/2022;6494.0;6250.0;6670.0;6020.0;3.24M;3.90%
01/18/2022;6250.0;6548.0;6587.0;6132.0;3.68M;-4.08%
01/17/2022;6516.0;6668.0;6734.0;6445.0;1.58M;-2.15%
01/14/2022;6659.0;6699.0;6791.0;6469.0;2.08M;-0.09%
01/13/2022;6665.0;6927.0;6951.5;6610.0;1.77M;-4.24%
01/12/2022;6960.0;6814.5;6969.0;6770.0;1.27M;2.11%
01/11/2022;6816.0;6799.0;6850.0;6732.5;926.30K;0.61%
01/10/2022;6775.0;6730.0;6880.0;6650.5;1.24M;1.13%
01/06/2022;6699.0;6530.0;6706.0;6459.0;906.40K;2.71%
01/05/2022;6522.0;6715.5;6755.0;6501.0;972.89K;-3.06%
01/04/2022;6728.0;6688.0;6741.0;6627.0;551.24K;0.67%
01/03/2022;6683.0;6592.0;6705.5;6586.0;610.92K;1.67%
12/30/2021;6573.0;6516.5;6597.0;6480.0;768.28K;0.87%
12/29/2021;6516.0;6488.0;6525.0;6421.0;842.31K;0.59%
12/28/2021;6478.0;6395.0;6559.5;6377.0;994.80K;1.26%
12/27/2021;6397.5;6321.5;6398.5;6315.0;515.60K;1.33%
12/24/2021;6313.5;6300.0;6328.0;6220.5;385.83K;0.14%
12/23/2021;6304.5;6359.0;6380.0;6285.0;665.46K;-0.71%
12/22/2021;6349.5;6368.5;6393.5;6319.5;838.94K;0.02%
12/21/2021;6348.5;6350.0;6428.0;6285.0;1.12M;0.32%
12/20/2021;6328.5;6344.0;6368.0;6237.0;1.73M;-5.12%
12/17/2021;6670.0;6737.5;6765.0;6603.5;2.01M;-0.88%
12/16/2021;6729.0;6604.5;6779.0;6595.0;1.75M;2.03%
12/15/2021;6595.0;6591.0;6625.0;6447.0;1.12M;0.05%
12/14/2021;6592.0;6399.5;6628.0;5912.5;2.09M;3.39%
12/13/2021;6376.0;6630.0;6700.0;6352.0;1.54M;-3.68%
12/10/2021;6619.5;6624.5;6673.0;6568.5;675.35K;0.01%
12/09/2021;6619.0;6594.0;6636.0;6501.5;1.23M;0.68%
12/08/2021;6574.5;6721.0;6784.5;6510.0;2.08M;-2.17%
12/07/2021;6720.5;6664.0;6766.5;6645.0;2.17M;1.06%
12/06/2021;6650.0;6690.0;6740.0;6500.0;1.17M;0.16%
12/03/2021;6639.5;6751.0;6770.0;6571.5;843.40K;-1.37%
12/02/2021;6732.0;6611.0;6768.0;6558.0;1.46M;2.36%
12/01/2021;6576.5;6600.0;6740.5;6543.0;1.74M;0.97%
11/30/2021;6513.0;6502.0;6688.5;6418.5;2.73M;-1.56%
11/29/2021;6616.0;6510.0;6713.0;6480.0;1.81M;3.80%
11/26/2021;6374.0;6462.0;6516.5;6335.5;2.18M;-4.32%
11/25/2021;6661.5;6814.5;6890.5;6655.0;1.08M;-2.25%
11/24/2021;6814.5;6850.5;6891.0;6686.5;1.37M;-0.22%
11/23/2021;6829.5;6551.0;6837.0;6490.0;1.59M;3.86%
11/22/2021;6575.5;6690.0;6756.5;6532.0;1.75M;-1.99%
11/19/2021;6709.0;6897.0;6902.5;6660.0;1.37M;-1.92%
11/18/2021;6840.0;6832.0;6887.0;6783.5;815.01K;-0.65%
11/17/2021;6884.5;6945.0;6950.0;6840.0;1.15M;-0.89%
11/16/2021;6946.5;6956.0;7006.0;6905.0;847.55K;0.40%
11/15/2021;6918.5;6852.0;6979.5;6815.0;910.01K;0.59%
11/12/2021;6878.0;7061.5;7067.0;6835.0;1.94M;-3.05%
11/11/2021;7094.5;7158.0;7171.0;6969.0;1.09M;-0.60%
11/10/2021;7137.5;7209.0;7266.0;7120.0;656.16K;-0.70%
11/09/2021;7188.0;7200.0;7255.0;7117.5;792.62K;-0.28%
11/08/2021;7208.5;7240.0;7275.0;7202.0;511.33K;0.13%
11/05/2021;7199.0;7132.0;7205.0;7082.0;593.78K;0.33%
11/03/2021;7175.0;7190.0;7202.5;7125.0;595.46K;-0.54%
11/02/2021;7214.0;7304.0;7394.0;7193.5;947.12K;-1.08%
11/01/2021;7293.0;7265.0;7327.5;7242.0;595.25K;0.28%
10/29/2021;7272.5;7260.0;7315.0;7118.0;1.31M;-0.22%
10/28/2021;7288.5;7286.0;7320.0;7190.0;1.38M;-0.48%
10/27/2021;7323.5;7405.0;7486.5;7322.0;747.02K;-1.57%
10/26/2021;7440.5;7449.0;7525.0;7381.0;1.14M;-0.01%
10/25/2021;7441.5;7239.0;7483.0;7215.0;1.35M;3.35%
10/22/2021;7200.0;7213.0;7314.5;7172.0;818.28K;-0.44%
10/21/2021;7232.0;7400.0;7429.0;7202.5;930.44K;-2.78%
10/20/2021;7439.0;7363.0;7460.0;7320.0;855.93K;0.90%
10/19/2021;7373.0;7336.0;7373.0;7240.5;761.34K;0.74%
10/18/2021;7319.0;7320.0;7364.0;7271.5;712.41K;0.17%
10/15/2021;7306.5;7252.0;7318.0;7195.0;951.70K;1.27%
10/14/2021;7215.0;7285.5;7319.0;7172.0;805.59K;-0.51%
10/13/2021;7252.0;7333.0;7333.5;7070.5;1.26M;-0.74%
10/12/2021;7306.0;7210.0;7332.0;7192.0;818.74K;0.58%
10/11/2021;7264.0;7299.5;7320.0;7253.0;741.97K;0.61%
10/08/2021;7220.0;7205.0;7279.0;7170.5;923.16K;0.77%
10/07/2021;7165.0;7132.0;7189.5;6984.5;1.28M;0.97%
10/06/2021;7096.0;7410.0;7417.0;7030.0;1.55M;-3.41%
10/05/2021;7346.5;7160.0;7417.0;7123.0;1.67M;2.97%
10/04/2021;7134.5;7000.0;7160.5;6940.5;1.57M;2.10%
10/01/2021;6987.5;6866.0;6990.0;6835.0;698.38K;1.22%
09/30/2021;6903.5;7010.0;7039.0;6850.5;1.43M;-1.27%
09/29/2021;6992.0;6929.0;7030.0;6900.5;1.06M;0.34%
09/28/2021;6968.0;7015.0;7141.5;6964.0;1.47M;-0.26%
09/27/2021;6986.0;6900.0;7003.0;6871.0;1.41M;2.36%
09/24/2021;6825.0;6800.0;6859.5;6740.5;825.32K;0.35%
09/23/2021;6801.0;6750.0;6801.0;6707.0;968.05K;1.48%
09/22/2021;6702.0;6652.5;6721.5;6622.0;669.17K;1.47%
09/21/2021;6605.0;6579.0;6660.0;6557.0;918.00K;0.82%
09/20/2021;6551.0;6540.0;6596.5;6494.0;869.59K;-0.75%
09/17/2021;6600.5;6670.5;6673.0;6565.0;1.33M;-0.95%
09/16/2021;6664.0;6693.0;6800.0;6565.0;1.76M;-0.90%
09/15/2021;6724.5;6600.0;6767.0;6583.5;1.49M;2.35%
09/14/2021;6570.0;6441.0;6600.0;6428.5;1.83M;2.33%
09/13/2021;6420.5;6321.0;6423.5;6308.0;806.70K;1.91%
09/10/2021;6300.0;6300.0;6339.0;6272.0;749.57K;0.49%
09/09/2021;6269.5;6330.0;6354.5;6261.0;828.09K;-1.14%
09/08/2021;6341.5;6282.0;6354.0;6246.5;1.08M;0.98%
09/07/2021;6280.0;6335.0;6338.5;6268.5;791.77K;-0.71%
09/06/2021;6325.0;6327.0;6372.0;6314.5;561.61K;-0.08%
09/03/2021;6330.0;6364.0;6366.0;6301.0;653.65K;-0.32%
09/02/2021;6350.5;6330.0;6408.0;6278.5;1.13M;0.26%
09/01/2021;6334.0;6300.0;6351.0;6264.0;1.11M;0.80%
08/31/2021;6283.5;6438.0;6449.0;6221.0;2.06M;-2.41%
08/30/2021;6439.0;6445.0;6471.5;6403.5;504.82K;0.15%
08/27/2021;6429.5;6373.0;6443.0;6325.5;770.49K;1.36%
08/26/2021;6343.5;6420.0;6430.0;6308.0;610.56K;-1.36%
08/25/2021;6431.0;6462.0;6483.0;6420.5;407.06K;-0.88%
08/24/2021;6488.0;6500.0;6521.5;6408.0;634.45K;0.19%
08/23/2021;6475.5;6394.0;6489.0;6371.0;752.25K;2.15%
08/20/2021;6339.5;6315.0;6348.0;6262.5;561.42K;0.12%
08/19/2021;6332.0;6401.0;6424.5;6255.0;1.24M;-1.75%
08/18/2021;6445.0;6605.0;6615.0;6444.5;757.48K;-1.87%
08/17/2021;6567.5;6475.0;6615.0;6441.5;1.15M;1.11%
08/16/2021;6495.5;6400.0;6503.0;6369.5;622.02K;1.03%
08/13/2021;6429.5;6490.0;6512.0;6406.0;572.57K;-1.15%
08/12/2021;6504.5;6450.0;6530.0;6431.5;621.42K;0.84%
08/11/2021;6450.0;6438.0;6487.5;6400.0;918.50K;0.41%
08/10/2021;6423.5;6324.5;6427.5;6322.0;997.68K;2.12%
08/09/2021;6290.0;6198.0;6310.0;6110.5;790.81K;0.87%
08/06/2021;6236.0;6319.0;6328.5;6227.0;727.81K;-1.20%
08/05/2021;6312.0;6215.0;6312.0;6211.5;578.50K;1.23%
08/04/2021;6235.0;6310.0;6333.5;6226.0;755.59K;-0.98%
08/03/2021;6297.0;6302.0;6330.0;6205.5;999.61K;-0.17%
08/02/2021;6308.0;6308.5;6380.0;6260.0;893.45K;0.14%
07/30/2021;6299.0;6395.0;6402.0;6266.5;1.13M;-1.82%
07/29/2021;6416.0;6445.0;6455.5;6382.5;675.05K;0.02%
07/28/2021;6415.0;6346.0;6427.0;6342.0;687.71K;1.30%
07/27/2021;6332.5;6375.0;6401.5;6292.0;648.66K;-1.13%
07/26/2021;6405.0;6371.0;6408.0;6315.0;646.24K;-0.44%
07/23/2021;6433.5;6467.5;6477.5;6380.5;737.09K;-0.35%
07/22/2021;6456.0;6401.5;6467.0;6330.5;866.93K;0.99%
07/21/2021;6393.0;6291.0;6408.5;6265.5;910.01K;1.36%
07/20/2021;6307.5;6270.0;6330.0;6205.0;1.05M;1.28%
07/19/2021;6228.0;6303.5;6339.0;6213.5;927.95K;-2.11%
07/16/2021;6362.0;6397.0;6479.5;6327.5;783.18K;-1.07%
07/15/2021;6430.5;6550.0;6552.0;6403.0;974.16K;-2.06%
07/14/2021;6566.0;6631.0;6750.0;6562.0;1.14M;-1.07%
07/13/2021;6637.0;6625.0;6646.0;6580.0;650.20K;0.39%
07/12/2021;6611.0;6650.0;6650.0;6573.0;539.90K;-0.66%
07/09/2021;6655.0;6668.0;6717.0;6618.0;844.39K;-0.43%
07/08/2021;6684.0;6740.0;6750.0;6597.0;1.03M;-1.45%
07/07/2021;6782.0;6825.0;6904.5;6732.5;935.13K;-0.69%
07/06/2021;6829.0;6870.0;6939.0;6824.0;1.54M;-0.23%
07/05/2021;6845.0;6878.0;6878.0;6767.0;387.18K;-0.06%
07/02/2021;6849.0;6827.0;6920.0;6810.5;999.68K;-2.30%
07/01/2021;7010.0;6770.0;7013.0;6762.0;1.49M;3.66%
06/30/2021;6762.5;6686.0;6804.5;6617.0;1.15M;1.16%
06/29/2021;6685.0;6730.5;6749.0;6642.5;1.29M;-1.09%
06/28/2021;6759.0;6810.0;6867.0;6744.0;805.12K;-0.75%
06/25/2021;6810.0;6712.0;6813.0;6710.5;882.07K;1.26%
06/24/2021;6725.0;6632.5;6759.0;6620.0;1.48M;1.39%
06/23/2021;6633.0;6733.0;6741.5;6621.0;1.06M;-1.23%
06/22/2021;6715.5;6737.5;6769.0;6663.0;1.07M;0.28%
06/21/2021;6697.0;6645.0;6700.0;6603.0;687.14K;0.66%
06/18/2021;6653.0;6640.0;6710.0;6606.0;1.87M;-0.25%
06/17/2021;6669.5;6570.0;6746.0;6560.5;1.68M;1.18%
06/16/2021;6591.5;6524.0;6637.5;6522.5;1.18M;1.34%
06/15/2021;6504.5;6530.0;6530.0;6431.0;828.00K;-0.16%
06/14/2021;6515.0;6528.0;6547.5;6447.0;581.60K;-0.05%
06/11/2021;6518.5;6570.0;6607.5;6488.0;578.71K;-0.78%
06/10/2021;6570.0;6575.5;6660.5;6548.0;1.09M;-0.26%
06/09/2021;6587.0;6525.0;6595.5;6487.0;942.96K;1.27%
06/08/2021;6504.5;6530.0;6564.5;6400.0;1.37M;-0.77%
06/07/2021;6555.0;6489.5;6590.0;6460.0;919.19K;0.68%
06/04/2021;6511.0;6472.0;6570.0;6442.0;1.52M;0.56%
