Date;Price;Open;High;Low;Vol.;Change %
11/21/2022;58.200;58.660;58.660;57.820;;-1.22%
11/18/2022;58.920;58.300;59.640;57.860;728.12K;1.69%
11/17/2022;57.940;57.280;57.940;56.600;579.82K;1.54%
11/16/2022;57.060;60.020;60.060;56.180;1.39M;-5.56%
11/15/2022;60.420;59.780;60.800;59.480;738.79K;1.58%
11/14/2022;59.480;60.480;60.800;59.020;520.02K;-0.47%
11/11/2022;59.760;59.400;61.180;59.280;1.67M;1.88%
11/10/2022;58.660;56.860;58.680;56.020;1.25M;2.59%
11/09/2022;57.180;57.340;58.280;56.320;632.15K;-0.28%
11/08/2022;57.340;58.440;59.180;57.340;696.45K;-1.68%
11/07/2022;58.320;56.600;59.000;56.500;790.63K;1.96%
11/04/2022;57.200;56.240;57.680;55.700;763.09K;2.03%
11/03/2022;56.060;56.320;56.400;54.920;867.44K;-1.55%
11/02/2022;56.940;57.620;58.400;56.760;529.06K;-0.90%
11/01/2022;57.460;57.120;58.660;56.940;618.05K;1.52%
10/31/2022;56.600;57.380;57.460;55.800;647.71K;-0.74%
10/28/2022;57.020;57.020;57.320;55.620;689.21K;-0.90%
10/27/2022;57.540;57.800;58.160;56.600;618.17K;-0.66%
10/26/2022;57.920;57.340;58.320;56.980;459.62K;0.77%
10/25/2022;57.480;57.580;58.180;56.000;493.11K;0.42%
10/24/2022;57.240;58.040;58.960;56.800;702.70K;-0.49%
10/21/2022;57.520;57.620;57.980;56.800;688.02K;-1.64%
10/20/2022;58.480;57.700;58.880;56.980;446.39K;1.21%
10/19/2022;57.780;59.000;59.260;57.120;574.91K;-1.43%
10/18/2022;58.620;59.280;60.020;58.620;462.53K;0.14%
10/17/2022;58.540;57.000;58.920;57.000;549.36K;2.74%
10/14/2022;56.980;58.000;58.300;56.820;543.73K;-0.28%
10/13/2022;57.140;56.820;58.220;55.800;872.79K;-0.10%
10/12/2022;57.200;56.400;57.640;55.640;667.34K;0.99%
10/11/2022;56.640;57.500;57.580;55.520;874.89K;-1.84%
10/10/2022;57.700;59.200;60.040;57.600;767.44K;-4.03%
10/07/2022;60.120;61.140;61.360;59.940;622.42K;-1.67%
10/06/2022;61.140;60.380;61.520;60.080;905.90K;2.58%
10/05/2022;59.600;60.000;60.440;57.960;1.03M;-1.16%
10/04/2022;60.300;58.700;60.640;57.960;1.38M;5.16%
10/03/2022;57.340;58.120;58.140;55.360;1.33M;-1.41%
09/30/2022;58.160;60.900;63.940;57.440;2.90M;-3.84%
09/29/2022;60.480;69.020;69.080;59.520;4.54M;-10.93%
09/28/2022;67.900;67.980;69.020;66.380;1.15M;-0.99%
09/27/2022;68.580;71.140;71.500;68.220;721.35K;-1.97%
09/26/2022;69.960;69.500;71.200;69.340;640.13K;-0.37%
09/23/2022;70.220;72.880;72.880;69.200;905.72K;-2.93%
09/22/2022;72.340;71.080;73.500;70.920;849.07K;0.47%
09/21/2022;72.000;71.300;72.720;70.140;879.10K;0.14%
09/20/2022;71.900;71.140;73.180;71.060;1.67M;3.87%
09/19/2022;69.220;67.880;69.960;67.380;869.82K;3.53%
09/16/2022;66.860;66.020;67.560;65.260;6.17M;-0.21%
09/15/2022;67.000;68.020;68.580;66.260;796.00K;-1.03%
09/14/2022;67.700;67.080;69.080;66.780;998.32K;0.39%
09/13/2022;67.440;69.500;70.080;67.060;904.79K;-2.68%
09/12/2022;69.300;67.820;69.760;67.760;980.58K;3.68%
09/09/2022;66.840;67.500;68.780;66.840;824.13K;-1.27%
09/08/2022;67.700;69.120;69.320;66.020;788.76K;-1.74%
09/07/2022;68.900;68.600;69.100;67.480;682.62K;-0.58%
09/06/2022;69.300;70.500;70.860;68.400;1.14M;-0.20%
09/05/2022;69.440;71.200;71.880;68.640;1.17M;-4.62%
09/02/2022;72.800;70.540;73.200;70.040;1.06M;4.93%
09/01/2022;69.380;69.500;69.920;68.680;646.20K;-1.56%
08/31/2022;70.480;73.640;74.040;70.420;1.01M;-3.08%
08/30/2022;72.720;70.700;74.060;70.380;1.20M;4.42%
08/29/2022;69.640;67.040;70.280;66.860;985.95K;3.66%
08/26/2022;67.180;67.540;69.980;66.380;1.10M;0.42%
08/25/2022;66.900;67.340;67.520;66.400;358.14K;0.54%
08/24/2022;66.540;65.880;66.540;65.000;447.09K;0.70%
08/23/2022;66.080;64.600;66.600;64.480;642.32K;2.04%
08/22/2022;64.760;67.320;67.340;64.080;862.19K;-4.43%
08/19/2022;67.760;69.240;69.840;67.700;707.70K;-3.12%
08/18/2022;69.940;69.600;70.720;69.080;435.44K;0.03%
08/17/2022;69.920;71.980;72.100;69.600;548.09K;-2.56%
08/16/2022;71.760;70.000;71.900;69.760;577.00K;2.60%
08/15/2022;69.940;70.580;71.120;68.580;699.31K;-0.20%
08/12/2022;70.080;71.360;71.860;70.040;745.76K;-1.77%
08/11/2022;71.340;72.800;72.820;70.620;620.73K;-1.38%
08/10/2022;72.340;71.400;73.180;71.220;698.55K;1.29%
08/09/2022;71.420;72.820;73.300;71.420;436.34K;-2.32%
08/08/2022;73.120;72.820;73.480;72.140;327.88K;1.13%
08/05/2022;72.300;72.400;73.720;71.920;441.28K;0.03%
08/04/2022;72.280;72.520;74.980;72.280;646.57K;-0.14%
08/03/2022;72.380;70.480;72.440;69.540;455.64K;2.26%
08/02/2022;70.780;70.020;70.880;69.080;457.55K;0.60%
08/01/2022;70.360;70.400;71.260;70.100;267.29K;-0.06%
07/29/2022;70.400;70.000;71.040;69.720;552.37K;1.12%
07/28/2022;69.620;68.000;69.980;68.000;669.36K;3.48%
07/27/2022;67.280;67.960;68.560;67.020;333.17K;0.00%
07/26/2022;67.280;67.940;68.080;66.380;335.93K;-1.23%
07/25/2022;68.120;68.760;68.880;66.400;666.36K;-1.25%
07/22/2022;68.980;68.520;69.200;67.760;372.23K;0.50%
